business_name,category,city,area,google_maps_url,website,phone,emails,has_booking_system,has_whatsapp,has_lead_form,has_slow_response_risk,has_after_hours_leak,rating,reviews_count,ads_detected,screenshots,leak_score,leak_categories,estimated_monthly_leads,estimated_missed_pct,estimated_revenue_loss_inr,recoverable_amount_inr,recommended_tier,roi_multiple,priority
Redcliffe Labs: Diagnostic and Pathology Lab Bangalore | Full Body Checkup Bangalore (NABL Recognised),Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Redcliffe+Labs:+Diagnostic+and+Pathology+Lab+Bangalore+|+Full+Body+Checkup+Bangalore+(NABL+Recognised),https://redcliffelabs.com/,+91 89889 88787,[],False,False,True,True,True,,,False,[],45,"['no online booking leak', 'no WhatsApp leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
Acclin Path Labs India Pvt Ltd,Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Acclin+Path+Labs+India+Pvt+Ltd,,,[],False,False,False,True,True,,,False,[],55,"['no online booking leak', 'no WhatsApp leak', 'no lead form leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
AMPATH Labs (Bengaluru),Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/AMPATH+Labs+(Bengaluru),https://ampath.com/,+91 1800 309 7777,[],False,False,True,True,True,,,False,[],45,"['no online booking leak', 'no WhatsApp leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
AARTHI SCANS & LABS | INDIRANAGAR | DIAGNOSTIC CENTER,Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/AARTHI+SCANS+&+LABS+|+INDIRANAGAR+|+DIAGNOSTIC+CENTER,http://www.aarthiscan.com/,+91 70224 70224,[],False,False,True,True,True,,,False,[],45,"['no online booking leak', 'no WhatsApp leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
Lotus Diagnostic Centre,Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Lotus+Diagnostic+Centre,http://lotusdiagnostic.com/,+91 90993 90993,[],False,False,True,True,True,,,False,[],45,"['no online booking leak', 'no WhatsApp leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
Lotus Diagnostic Centre,Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Lotus+Diagnostic+Centre,https://lotusdiagnostic.com/,+91 81971 08918,[],False,False,True,True,True,,,False,[],45,"['no online booking leak', 'no WhatsApp leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
Bangalore Diagnostics Main Centre,Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Bangalore+Diagnostics+Main+Centre,,+91 97425 25899,[],False,False,False,True,True,,,False,[],55,"['no online booking leak', 'no WhatsApp leak', 'no lead form leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
AARTHI SCANS & LABS | JAYANAGAR | DIAGNOSTIC CENTER,Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/AARTHI+SCANS+&+LABS+|+JAYANAGAR+|+DIAGNOSTIC+CENTER,https://aarthiscan.com/,+91 70224 70224,[],False,False,True,True,True,,,False,[],45,"['no online booking leak', 'no WhatsApp leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
Bangalore Scanning & Diagnostic Centre,Diagnostics / Labs,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Bangalore+Scanning+&+Diagnostic+Centre,,+91 97426 95899,[],False,False,False,True,True,,,False,[],55,"['no online booking leak', 'no WhatsApp leak', 'no lead form leak', 'speed-to-lead leak']",300,0.4,180000,125999,Pro ₹60K/month,2.1,COLD
