Business Name,Category,City,Phone,Email,Website,Rating,Reviews,Tier,Score,Loss/Month,Recoverable,Email Subject,WhatsApp Message
Dr Mittal's Diagnostic Centre,diagnostic center,Delhi,+91 98115 52279,,https://www.mittalsdiagnostic.in/,4.2,218,HOT,76,101250,70875,Quick question about Dr Mittal's Diagnostic Centre,"Hi! Quick note about Dr Mittal's Diagnostic Centre.

Based on your 218 Google reviews, you're likely..."
SGD Diagnostic Centre,diagnostic center,Delhi,+91 78272 96993,,,4,117,HOT,73,84000,58799,Quick question about SGD Diagnostic Centre,"Hi! Quick note about SGD Diagnostic Centre.

Based on your 117 Google reviews, you're likely missing..."
Delhi Diagnostic Center & Lab,diagnostic center,Delhi,+91 99537 37442,,https://delhidiagnostic.in/,5,63,WARM,64,74625,52237,Quick question about Delhi Diagnostic Center & Lab,"Hi! Quick note about Delhi Diagnostic Center & Lab.

Based on your 63 Google reviews, you're likely ..."
